Z [inches],OD1,OD2,OD3,OD4,OD5
0.0000,250.488,89.085,255.000,201.454,186.250
0.0025,99.375,90.073,131.916,91.000,159.035
0.0050,90.445,90.517,89.048,89.626,88.717
0.0075,90.971,90.918,89.500,90.612,89.557
0.0100,90.551,89.918,90.747,89.598,88.098
0.0125,90.989,89.045,90.254,91.000,87.620
0.0150,89.124,89.737,90.029,91.000,89.530
0.0175,90.914,91.459,91.534,91.000,90.522
0.0200,89.130,88.615,89.897,91.728,89.487
0.0225,88.502,89.000,89.788,89.205,87.508
0.0250,88.966,88.871,90.048,90.742,88.991
0.0275,89.000,87.407,90.917,90.497,88.513
0.0300,87.420,87.713,90.377,90.267,87.564
0.0325,89.158,89.789,90.762,90.525,89.526
0.0350,89.562,90.421,90.261,90.769,89.999
0.0375,90.531,91.933,91.333,90.224,91.809
0.0400,88.922,88.680,90.623,90.566,90.114
0.0425,89.203,88.973,90.471,89.948,88.133
0.0450,89.601,88.749,90.792,90.797,89.569
0.0475,87.417,89.705,91.612,92.803,91.739
0.0500,90.102,90.054,91.137,91.810,90.593
0.0525,89.728,90.588,90.964,90.817,89.404
0.0550,89.355,89.294,91.104,91.648,90.213
0.0575,89.020,89.429,92.286,92.154,90.847
0.0600,90.232,90.983,94.657,92.188,90.501
0.0625,90.956,89.781,94.860,93.222,91.630
0.0650,92.600,92.645,92.476,93.000,92.995
0.0675,93.390,91.791,92.032,93.142,93.000
0.0700,95.075,96.084,102.240,91.811,89.418
0.0725,104.634,106.957,120.589,106.257,104.605
0.0750,121.183,120.225,115.419,126.000,124.276
0.0775,109.152,105.588,96.745,114.198,108.123
0.0800,92.298,90.955,91.057,93.677,91.763
0.0825,88.821,90.254,90.276,91.697,89.416
0.0850,87.496,88.605,89.277,90.906,87.719
0.0875,88.150,89.177,89.163,89.000,88.556
0.0900,89.127,89.205,89.619,89.161,87.547
0.0925,89.011,89.682,91.031,90.926,88.993
0.0950,90.559,89.625,91.510,92.000,91.480
0.0975,88.168,88.739,91.320,91.760,90.271
0.1000,88.799,89.148,90.007,91.000,89.766
0.1025,89.929,91.065,90.395,91.000,88.689
0.1050,91.756,91.877,91.774,93.039,90.646
0.1075,92.821,91.789,92.884,94.000,90.213
0.1100,91.019,91.558,92.027,92.974,92.976
0.1125,90.634,88.403,90.442,92.962,93.227
0.1150,90.121,88.956,90.847,91.000,89.026
0.1175,89.138,87.472,91.990,91.000,89.645
0.1200,88.188,89.065,92.801,93.002,92.315
0.1225,88.995,89.239,90.641,96.000,91.688
0.1250,90.023,91.069,90.388,91.000,89.166
0.1275,91.879,91.897,91.138,91.912,89.281
0.1300,91.084,91.073,92.044,92.000,90.857
0.1325,91.001,91.944,90.926,92.036,90.999
0.1350,90.065,90.930,90.348,91.043,87.371
0.1375,88.125,89.919,90.104,89.901,90.657
0.1400,88.034,89.152,90.961,90.000,88.117
0.1425,89.879,91.019,91.368,93.000,90.890
0.1450,90.938,91.000,91.551,92.070,90.007
0.1475,91.000,90.928,89.609,90.923,90.921
0.1500,90.007,90.009,89.749,90.000,87.218
0.1525,90.671,90.804,91.457,90.181,87.162
0.1550,92.780,91.939,91.720,93.097,90.969
0.1575,91.289,91.936,90.609,93.792,90.964
0.1600,90.918,91.134,90.463,91.889,89.044
0.1625,90.784,91.686,89.589,91.000,89.039
0.1650,89.933,90.014,90.441,90.000,88.030
0.1675,89.992,91.379,90.604,91.737,88.991
0.1700,89.196,88.651,89.266,88.830,88.035
0.1725,86.484,85.688,90.324,89.000,88.016
0.1750,88.201,88.195,91.695,91.000,89.982
0.1775,88.959,89.010,90.988,91.000,91.917
0.1800,88.407,89.042,89.149,90.166,89.028
0.1825,87.478,87.658,89.547,90.172,89.891
0.1850,88.899,89.879,89.277,90.821,88.951
0.1875,89.736,88.248,89.681,90.814,90.846
0.1900,89.260,89.072,91.718,91.000,89.018
0.1925,89.236,87.635,91.798,91.000,90.074
0.1950,89.722,90.973,90.135,90.826,89.288
0.1975,89.479,90.579,90.203,91.000,88.215
0.2000,89.212,90.823,89.851,89.220,88.221
0.2025,91.721,91.608,89.833,90.227,85.507
0.2050,92.119,92.691,88.894,91.532,89.572
0.2075,91.727,91.794,89.493,91.037,91.298
0.2100,91.113,92.428,90.313,90.752,90.572
0.2125,92.919,91.780,91.751,91.491,91.527
0.2150,92.384,92.617,91.425,92.739,91.673
0.2175,92.338,93.331,91.299,92.464,90.838
0.2200,91.694,92.044,91.138,92.450,92.441
0.2225,91.302,92.587,90.899,91.718,89.655
0.2250,91.259,90.898,90.664,90.711,90.593
0.2275,89.497,89.390,90.307,90.000,89.223
0.2300,89.962,90.021,90.738,91.000,89.215
0.2325,89.816,90.343,91.947,91.309,90.978
0.2350,90.375,90.417,91.984,93.000,91.229
0.2375,89.485,91.423,90.272,92.354,90.491
0.2400,90.902,91.126,89.845,91.341,92.229
0.2425,92.044,91.333,90.504,92.991,90.761
0.2450,90.643,90.672,91.586,91.000,89.286
0.2475,91.039,91.567,91.085,92.000,88.832
0.2500,90.559,90.951,90.450,92.000,89.985
0.2525,88.244,90.244,90.785,91.000,87.907
0.2550,89.877,91.408,90.788,91.629,91.256
0.2575,92.803,91.108,91.335,92.377,90.324
0.2600,90.186,90.660,90.783,90.384,89.333
0.2625,88.076,90.339,90.118,89.782,89.668
0.2650,87.995,88.481,89.579,90.000,89.009
0.2675,87.487,87.621,89.380,90.810,87.368
0.2700,88.380,89.017,89.595,89.823,86.428
0.2725,87.774,88.569,90.440,90.000,89.321
0.2750,87.688,89.074,91.694,90.851,89.736
0.2775,90.790,90.000,91.388,90.000,89.385
0.2800,89.686,90.028,91.000,92.878,89.991
0.2825,91.688,90.480,91.179,92.000,91.376
0.2850,91.054,90.615,92.410,93.453,91.006
0.2875,90.757,91.887,91.341,91.919,90.423
0.2900,89.182,90.082,91.652,89.534,88.453
0.2925,90.924,91.466,91.265,92.054,92.080
0.2950,90.382,91.777,91.918,91.520,90.584
0.2975,90.958,90.303,91.727,90.974,88.381
0.3000,90.361,90.806,91.259,91.987,88.907
0.3025,89.730,90.450,91.587,91.001,90.508
0.3050,90.260,91.135,91.787,91.507,90.476
0.3075,92.162,90.318,91.545,92.514,89.500
0.3100,91.599,92.925,92.834,92.000,90.491
0.3125,89.658,91.576,92.562,92.000,92.963
0.3150,92.061,90.654,92.365,94.139,90.069
0.3175,92.262,90.986,92.190,89.834,90.984
0.3200,90.806,91.630,91.351,92.000,91.000
0.3225,89.527,90.595,89.704,91.445,90.017
0.3250,88.492,89.414,90.295,89.438,88.569
0.3275,90.092,91.106,91.647,89.431,89.097
0.3300,91.132,92.801,91.904,91.424,91.398
0.3325,92.121,89.339,91.396,92.835,91.146
0.3350,91.236,91.933,91.692,92.000,91.416
0.3375,90.857,90.705,91.523,92.192,89.793
0.3400,90.196,90.411,91.651,92.206,90.582
0.3425,91.484,89.600,93.018,90.220,90.399
0.3450,91.038,91.038,95.023,93.467,90.833
0.3475,91.710,91.743,92.923,95.494,94.794
0.3500,91.882,91.593,89.764,91.370,90.814
0.3525,94.617,92.684,89.083,87.539,88.836
0.3550,91.239,90.842,88.900,89.712,89.340
0.3575,88.337,87.954,90.679,89.651,89.988
0.3600,89.142,90.215,91.832,91.000,89.019
0.3625,90.171,90.571,91.912,92.329,90.962
0.3650,90.104,90.566,91.529,91.329,89.349
0.3675,91.880,90.942,91.663,91.678,91.948
0.3700,90.099,89.804,91.248,89.315,90.726
0.3725,89.949,89.244,91.540,91.076,90.424
0.3750,89.999,90.834,92.546,92.397,90.712
0.3775,90.941,87.713,92.955,91.706,90.995
0.3800,91.013,91.084,93.610,92.575,91.721
0.3825,91.961,92.721,93.391,93.719,91.015
0.3850,92.940,92.023,93.016,93.548,93.687
0.3875,95.604,94.566,91.745,93.000,92.035
0.3900,91.193,91.784,91.000,93.479,92.000
0.3925,90.870,89.424,92.236,92.000,91.566
0.3950,91.999,93.047,93.587,94.000,93.179
0.3975,93.800,94.000,93.292,93.199,92.225
0.4000,94.661,93.956,92.288,93.233,92.387
0.4025,93.743,93.042,92.522,95.774,92.008
0.4050,91.993,93.006,93.543,93.781,91.826
0.4075,93.748,93.898,93.981,92.425,90.371
0.4100,92.375,92.937,94.692,94.589,92.785
0.4125,93.095,92.055,95.009,96.006,94.507
0.4150,94.736,92.953,93.336,95.424,93.034
0.4175,92.335,92.007,92.813,92.630,90.649
0.4200,92.179,91.869,93.084,93.000,92.701
0.4225,91.252,89.231,92.923,92.829,91.673
0.4250,91.950,92.108,93.104,94.342,91.887
0.4275,91.260,92.959,93.734,93.842,91.998
0.4300,92.889,92.995,93.453,94.000,94.754
0.4325,93.000,92.715,91.960,93.856,93.042
0.4350,90.640,89.266,91.857,91.000,89.236
0.4375,91.906,92.194,93.245,94.000,91.870
0.4400,92.938,94.736,92.808,94.876,92.920
0.4425,95.046,94.591,91.532,91.467,92.022
0.4450,91.401,91.795,92.886,91.110,91.062
0.4475,91.282,89.717,94.094,96.588,92.805
0.4500,92.526,92.922,93.553,93.808,91.023
0.4525,92.039,91.102,93.775,93.821,91.000
0.4550,91.671,90.348,93.489,92.835,91.972
0.4575,92.917,88.660,92.150,91.924,89.080
0.4600,88.960,90.007,91.939,90.069,89.013
0.4625,90.253,90.182,91.960,91.938,88.109
0.4650,90.709,90.566,93.006,92.000,90.989
0.4675,92.507,91.463,92.465,94.903,92.129
0.4700,92.038,93.529,90.627,93.000,90.983
0.4725,92.014,91.583,88.930,92.035,88.939
0.4750,89.915,91.619,90.819,91.056,88.085
0.4775,94.980,97.727,93.595,94.000,92.733
0.4800,93.544,93.760,93.516,94.000,92.835
0.4825,92.616,93.529,93.305,94.000,92.021
0.4850,93.489,93.789,92.604,94.000,92.877
0.4875,93.110,94.595,91.115,93.994,91.154
0.4900,91.626,91.715,92.000,92.987,90.143
0.4925,93.433,91.304,93.161,94.000,92.074
0.4950,91.618,91.973,92.848,92.054,92.134
0.4975,91.031,91.294,93.497,93.000,91.308
0.5000,91.479,91.281,93.645,94.121,91.156
0.5025,91.521,90.773,93.121,91.237,92.290
0.5050,92.410,93.063,91.998,92.108,93.147
0.5075,96.480,94.667,92.531,92.061,91.858
0.5100,93.650,94.250,92.160,93.000,91.022
0.5125,91.270,92.340,92.100,92.851,89.433
0.5150,92.747,93.273,92.465,91.081,91.155
0.5175,91.115,92.857,92.532,91.088,90.386
0.5200,91.938,91.718,93.455,93.000,91.955
0.5225,92.762,94.168,94.204,91.408,92.447
